1,facebook.com
2,google.com
3,youtube.com
4,yahoo.com
5,baidu.com
6,wikipedia.org
7,amazon.com
8,qq.com
9,live.com
10,taobao.com
11,blogspot.com
12,google.co.in
13,linkedin.com
14,twitter.com
15,yahoo.co.jp
16,bing.com
17,sina.com.cn
18,yandex.ru
19,vk.com
20,msn.com
21,ebay.com
22,163.com
23,wordpress.com
24,google.de
25,ask.com
26,google.com.hk
27,weibo.com
28,google.co.uk
29,mail.ru
30,hao123.com
31,microsoft.com
32,tumblr.com
33,google.co.jp
34,google.fr
35,xvideos.com
36,googleusercontent.com
37,delta-search.com
38,google.com.br
39,conduit.com
40,fc2.com
41,pinterest.com
42,google.ru
43,tmall.com
44,xhamster.com
45,craigslist.org
46,mywebsearch.com
47,amazon.co.jp
48,sohu.com
49,google.it
50,google.es
51,babylon.com
52,paypal.com
53,adobe.com
54,odnoklassniki.ru
55,imdb.com
56,apple.com
57,instagram.com
58,ifeng.com
59,pornhub.com
60,soso.com
61,yieldmanager.com
62,bbc.co.uk
63,aol.com
64,youku.com
65,google.com.mx
66,360.cn
67,google.ca
68,amazon.de
69,alibaba.com
70,avg.com
71,blogger.com
72,go.com
73,alipay.com
74,cnn.com
75,blogspot.in
76,redtube.com
77,adf.ly
78,adcash.com
79,neobux.com
80,xnxx.com
81,google.com.au
82,google.com.tr
83,dailymotion.com
84,rakuten.co.jp
85,about.com
86,ebay.de
87,amazon.co.uk
88,sogou.com
89,jd.com
90,google.pl
91,flickr.com
92,livejasmin.com
93,bp.blogspot.com
94,huffingtonpost.com
95,stackoverflow.com
96,ku6.com
97,imgur.com
98,youporn.com
99,akamaihd.net
100,uol.com.br
